NOMBRE;FECHAFUNDACION;PRESIDENTE;POSICION;ESLOGAN
Alianza Social Independiente;1991;Berenice Bedoya Pérez;Oposición;ND
Alianza Verde;2 de Octubre de 2009;Antanas Mockus;Oposición;¡Es con acciones!
Cambio Radical;1998;German Vargas Lleras;Independiente;¡Somos visión, seriedad, compromiso y carácter!
Centro Democrático;15 de julio de 2014;Nubia Stella Martínez;Gobierno;Mano Firme Corazón Grande
Coalición Lista de la Decencia;13 de diciembre de 2017;ND;Oposición;¡Por una Colombia decente!
Colombia Humana;2011;Gustavo Petro;Oposición;ND
Colombia Justa y Libre;11 de diciembre de 2017;Eduardo Cañas Estrada;Gobierno;¡Hagamoslo Juntos!
Comunes;1 de septiembre de 2017;Rodrigo Londoño;Oposición;ND
Conservador;4 de octubre de 1849;Omar Yepes;Gobierno;La fuerza que decide!
Liberal;16 de julio de 1848;César Gaviria Trujillo;Independiente;«Oportunidades para todos»
Movimiento Alternativo Indigena Social;2013;Martha Isabel Peralta Epiayú;Oposición;Compromiso de País
Movimiento Autoridades Indigenas de Colombia;15 de agosto de 1991;Laudelino Bernier;Oposición;ND
Partido de la U;2006;Dilian Francisca Toro;Gobierno;Unidos, como debe ser!
Partido Mira;26 de julio de 2000;Carlos Eduardo Guevara;Gobierno;Identidad y Convicción
Polo Democrático Alternativo;01 de diciembre de 2005;Alexander López Maya;Oposición;¡Le toca a Colombia!
