NOMBRE;FECHAFUNDACI‡N;PRESIDENTE;POSICION;ESLOGAN
Alianza Social Independiente;1991;Berenice Bedoya PÇrez;Oposici¢n;N/A
Alianza Verde;2009;Antanas Mockus, Antonio Navarro Wolff, Carlos Ram¢n Gonz†lez;Oposici¢n;≠Es con acciones!
Cambio Radical;1997;Direcci¢n colegiada;Independencia;≠Somos visi¢n, seriedad, compromiso y car†cter!
Centro Democr†tico;2013;Nubia Stella Mart°nez;Gobierno;Mano Firme, Coraz¢n Grande
Coalici¢n Lista de la Decencia;2017;N/A;Oposici¢n;≠Por una Colombia decente!
Colombia Humana;2011;N/A;Oposici¢n;N/A
Colombia Justa y Libre;2017;David Reyes Castro;Gobierno;≠Hag†moslo Juntos!
Comunes;2017;Rodrigo Londo§o;Oposici¢n;N/A
Conservador;1849;Omar Yepes;Gobierno;≠La fuerza que decide!
Liberal;1848;CÇsar Gaviria Trujillo;Independencia;Oportunidades para todos
Movimiento Alternativo Indigena Social;2013;Martha Isabel Peralta Epiay£;Oposici¢n;N/A
Movimiento Autoridades Indigenas de Colombia;1990;N/A;Oposici¢n;N/A
Partido de la U;2005;Dilian Francisca Toro;Gobierno;≠Unidos, como debe ser!
Partido Mira;2000;Carlos Eduardo Guevara;Gobierno;Identidad y Convicci¢n
Polo Democr†tico Alternativo;2005;Alexander L¢pez Maya;Oposici¢n;"""≠Le toca a Colombia!"""
